id,name,idea,archeotype,element,description,base_rarity,health_base,constitution_base,wisdom_base,dexterity_base,speed_base,charisma_base,birthday,height,weight,blood_type
022,Zara,grove stride line hold,warrior,Dendro,Anchors midline pressure with reliable fundamentals. Zara wears vineworked cloth with bark-tone reinforcements. Tracks terrain advantage better than most scouts.,8,6,8,4,6,5,4,19-03,157,49,AB
023,Rosalie,grove stride battle hymn,buffer,Electro,Keeps team uptime high through disciplined support routing. Rosalie wears dark fabric crossed by bright lightning filaments. Maps threat paths mentally before the first clash.,8,5,5,7,5,5,7,10-04,151,33,B
024,Libra,grove stride pickoff,ranger,Dendro,Prefers off-angle pressure and clean finish windows. Libra wears leaf-etched plating and moss-green stitching. Treats recovery planning as part of offense.,8,5,4,6,8,7,4,03-10,150,40,B
025,Ivy,grove stride pickoff,ranger,Dendro,Prefers off-angle pressure and clean finish windows. Ivy wears vineworked cloth with bark-tone reinforcements. Treats recovery planning as part of offense.,10,6,5,7,9,8,5,05-05,150,36,AB
026,Merlyn,grove stride burst weave,magician,Dendro,"Plays for setup, then collapses the field with timing. Merlyn wears sap-gold details over forest-green layered garb. Treats recovery planning as part of offense.",10,6,7,9,6,6,6,09-03,166,51,O
027,Cordie,grove stride pickoff,ranger,Dendro,"Fights from shifting lanes, always one step ahead. Cordie wears leaf-etched plating and moss-green stitching. Can identify field herbs between encounters.",10,6,5,7,9,8,5,31-05,151,41,B
029,Mertillier,grove stride battle hymn,buffer,Dendro,Keeps team uptime high through disciplined support routing. Mertillier wears sap-gold details over forest-green layered garb. Can identify field herbs between encounters.,10,6,6,8,6,6,8,03-09,150,29,AB
030,Luke,grove stride bulwark,tank,Anemo,"Absorbs pressure and redraws threat around the team core. Luke wears lightweight wraps, feathered hems, and wind-cut ribbons. Uses wind direction to hide approach timing.",10,8,10,6,5,5,5,01-01,168,49,A
031,Garmr,relic dusk pickoff,ranger,Geo,Prefers off-angle pressure and clean finish windows. Garmr wears earth-tone armor segments with mineral inlays. Always checks formation integrity before advancing.,6,4,3,5,7,6,4,30-05,170,47,O
032,Skuld,relic dusk burst weave,magician,Geo,"Plays for setup, then collapses the field with timing. Skuld wears granite textures balanced by polished metal trims. Always checks formation integrity before advancing.",8,5,4,8,5,5,5,09-08,164,46,AB
033,Cherna,relic dusk battle hymn,buffer,Geo,"Reads momentum early and boosts the right teammate first. Cherna wears stone-hued plates, brass rivets, and quarry-cut lines. Prefers guaranteed value over flashy risks.",8,5,5,7,5,5,7,01-01,158,43,B
034,Soteira,relic dusk battle hymn,buffer,Geo,Keeps team uptime high through disciplined support routing. Soteira wears earth-tone armor segments with mineral inlays. Prefers guaranteed value over flashy risks.,8,5,5,7,5,5,7,06-01,151,38,O
035,Mimi,relic dusk line hold,warrior,Geo,Anchors midline pressure with reliable fundamentals. Mimi wears granite textures balanced by polished metal trims. Prefers guaranteed value over flashy risks.,10,7,8,5,7,6,5,29-04,154,39,A
036,Tropon,relic dusk burst weave,magician,Geo,"Threads spells in layered rhythms before a burst release. Tropon wears stone-hued plates, brass rivets, and quarry-cut lines. Treats shield discipline like a personal oath.",10,6,5,9,6,6,6,11-05,154,42,A
037,Hathor,relic dusk pickoff,ranger,Geo,Prefers off-angle pressure and clean finish windows. Hathor wears earth-tone armor segments with mineral inlays. Treats shield discipline like a personal oath.,10,6,7,7,9,8,5,12-08,165,49,O
041,Natasha,dawn mantle line hold,warrior,Cryo,"Anchors midline pressure with reliable fundamentals. Natasha wears snow-toned panels with faceted, glacial accents. Never rushes confirms unless the odds are clean.",10,7,8,5,7,6,5,08-06,151,32,A
042,Fortina,dawn mantle bulwark,tank,Dendro,Absorbs pressure and redraws threat around the team core. Fortina wears leaf-etched plating and moss-green stitching. Treats recovery planning as part of offense.,10,8,10,6,5,5,5,22-08,157,43,O
043,Cerberus,dawn mantle line hold,warrior,Cryo,Holds formation and controls tempo from the front. Cerberus wears iceglass details and cool silver-blue drapery. Reads enemy cooldown tells with unusual consistency.,10,7,8,5,7,6,5,11-11,168,35,O
044,Rusalka,dawn mantle battle hymn,buffer,Cryo,"Reads momentum early and boosts the right teammate first. Rusalka wears snow-toned panels with faceted, glacial accents. Reads enemy cooldown tells with unusual consistency.",10,6,6,8,6,6,8,11-06,161,39,AB
045,Elfriede,dawn mantle bulwark,tank,Cryo,"Turns enemy focus into wasted turns through pure durability. Elfriede wears frost-rimmed edges with crystal-pale ornament lines. Keeps decisions measured, even in overtime rounds.",10,8,10,6,5,5,5,25-12,158,50,O
046,Lunalynn,fractured spark burst weave,magician,Electro,Uses chained casts to turn small openings into swings. Lunalynn wears stormglass trims with crackling geometric seams. Static flickers across their sleeves under stress.,10,6,6,9,6,6,6,07-02,167,43,O
047,Valeriede,fractured spark line hold,warrior,Electro,Anchors midline pressure with reliable fundamentals. Valeriede wears dark fabric crossed by bright lightning filaments. Static flickers across their sleeves under stress.,10,7,9,5,7,6,5,12-01,165,47,O
048,Ay Ay,fractured spark burst weave,magician,Electro,"Threads spells in layered rhythms before a burst release. Ay Ay wears violet inlays, static-laced gloves, and neon arc marks. Maps threat paths mentally before the first clash.",10,6,5,9,6,6,6,29-02,150,29,A
049,Ophelia,fractured spark bulwark,tank,Electro,Absorbs pressure and redraws threat around the team core. Ophelia wears stormglass trims with crackling geometric seams. Maps threat paths mentally before the first clash.,10,8,10,6,5,5,5,23-04,169,58,O
050,Armstrong,fractured spark pickoff,ranger,Electro,"Fights from shifting lanes, always one step ahead. Armstrong wears dark fabric crossed by bright lightning filaments. Maps threat paths mentally before the first clash.",10,6,7,7,9,8,5,14-07,177,61,A
052,Sivi,tide-calm linebreaker line hold,warrior,Hydro,Anchors midline pressure with reliable fundamentals. Sivi wears mist-soft fabrics and wave-cut silver details. Keeps a calm pulse even in extended boss phases.,10,7,8,5,7,6,5,13-09,151,46,O
054,Chiffon,ember oath front battle hymn,buffer,Pyro,"Amplifies allies with tight cooldown and position control. Chiffon wears burnished reds, soot-black trims, and ember-thread seams. Known to tap their weapon twice before engaging.",10,6,6,8,6,6,8,08-04,150,30,O
059,Eir,tide-calm linebreaker pickoff,ranger,Anemo,Builds tempo through precise picks and quick retreats. Eir wears storm-kite textures that flutter even at a standstill. Uses wind direction to hide approach timing.,10,6,6,7,9,8,5,30-06,164,49,AB
063,Paladea,fractured spark pickoff,ranger,Electro,"Fights from shifting lanes, always one step ahead. Paladea wears violet inlays, static-laced gloves, and neon arc marks. Static flickers across their sleeves under stress.",10,6,7,7,9,8,5,21-05,174,57,A
065,Aine,dawn mantle pickoff,ranger,Cryo,"Builds tempo through precise picks and quick retreats. Aine wears snow-toned panels with faceted, glacial accents. Keeps decisions measured, even in overtime rounds.",10,6,7,7,9,8,5,29-03,165,49,A
069,Kaguya,fractured spark burst weave,magician,Electro,"Plays for setup, then collapses the field with timing. Kaguya wears violet inlays, static-laced gloves, and neon arc marks. Prefers fast callouts and rapid target swaps.",10,6,5,9,6,6,6,15-08,151,37,B
086,Meria,dawn mantle bulwark,tank,Geo,Turns enemy focus into wasted turns through pure durability. Meria wears granite textures balanced by polished metal trims. Always checks formation integrity before advancing.,10,8,10,6,5,5,5,18-04,161,46,B
109,Eirene,dawn mantle pickoff,ranger,Cryo,"Prefers off-angle pressure and clean finish windows. Eirene wears iceglass details and cool silver-blue drapery. Keeps decisions measured, even in overtime rounds.",10,6,7,7,9,8,5,15-09,165,49,A
111,Tillie,grove stride battle hymn,buffer,Hydro,Reads momentum early and boosts the right teammate first. Tillie wears layered blues with tide-line embroidery and pearl sheen. Rarely misses beat changes during long engagements.,10,6,6,8,6,6,8,23-01,151,35,A
114,Pola,grove stride pickoff,ranger,Hydro,Prefers off-angle pressure and clean finish windows. Pola wears layered blues with tide-line embroidery and pearl sheen. Keeps a calm pulse even in extended boss phases.,10,6,5,7,9,8,5,20-03,151,37,O
121,Lumica,dawn mantle line hold,warrior,Cryo,Holds formation and controls tempo from the front. Lumica wears iceglass details and cool silver-blue drapery. Never rushes confirms unless the odds are clean.,10,7,8,5,7,6,5,31-01,151,38,O
124,Yildiz,grove stride line hold,warrior,Anemo,Anchors midline pressure with reliable fundamentals. Yildiz wears pale cloth with aerovane ornaments and drifting tassels. Adjusts stance by sound before most opponents react.,10,7,8,5,7,6,5,13-08,166,34,A
139,Trixie,relic dusk burst weave,magician,Cryo,Threads spells in layered rhythms before a burst release. Trixie wears iceglass details and cool silver-blue drapery. Never rushes confirms unless the odds are clean.,10,6,6,9,6,6,6,18-01,165,47,AB
