command,script_api,description,type,engine_notes
set_target <selector> to <slot>,"slots[""<slot>""] = resolve_selector(<selector>, ctx)",Local slot (this character only): store resolved entity in named <slot> for the rest of this decision chain (scratch buffer). Distinct from party flags which label characters for everyone.,action,"Validate legality at bind-time and again at skill resolve if state changed; illegal bind → fall through or clear slot."
make target <slot>,"slots[""<slot>""] = ctx.current_target",Copy the current pipeline target into local slot <slot> (same as set_target but uses implicit current_target). Examples for slot names: a b c d group_damage_focus (local alias not party flag unless you also assign_flag).,action,"If you want the party to see focus use assign_flag to <selector> not only slots."
clear_target,slots.clear(),Clears local target slots for this character.,action,Rarely needed if each turn rebuilds slots.
clear_target <slot>,"del slots[""<slot>""]",Clears only the named local slot.,action,
global_flag <id> <value>,global_flags[<id>] = <value>,Encounter counter / script state (wave phase boss phase counters). Not a character tag; use assign_flag for who-to-focus coordination.,flag,"Persist only within combat instance unless saved to campaign; small enum ids."
use skill <skill_id> on target <slot>,"cast(""<skill_id>"", target=slots[""<slot>""])",Use skill on entity bound in local slot.,action,"Resolve skill by stable id; if slot empty or stale fall through."
use skill <skill_id> on character_with_flag <flag>,"cast(""<skill_id>"", target=character_with_flag(""<flag>""))",Use skill on whoever currently holds the party flag (e.g. heal the ally tagged heal_priority).,action,Skill must still be legal for that target (range LOS resources).
move to line <line>,"queue_move(self, row=<line>)",Orders this character to move to front row 1 middle row 2 or back row 3 when the battle grid uses row positions.,action,"If movement consumes turn resolve order vs skill use; reject invalid lines or clamp per encounter config."
axis(entity name),"axis(entity, ""current_health"")  # example; name from axis rows",Built-in helper: returns the stat value for the named axis on an entity. Prefer in embedded scripts so names stay aligned with the DSL.,builtin,"Expose readonly snapshots in sandbox; inject pool enemies allies self slots party_flags global_flags."
party_flag examples (authoring),"focus_damage heal_priority cc_focus debuff_focus tank_peel group_damage_focus individual_damage_focus",Illustrative party flag ids for assign_flag / character with flag; define allowed set per content pack.,meta,Same mental model as your a;b;c;d focus roles — now explicit tags on entities everyone reads.
party_flag_semantics,(documentation),Party flags are shared marks on characters: once assigned everyone’s AI can aim heals buffs and focus fire at the same entity without recomputing. Local slots are only this preset’s scratch variables. Content tags (select any with tag) label skills/assets. global_flag is numeric encounter state not character labels.,meta,"Store party_flags as flag_name -> entity_id(s); replicate or broadcast on assign/clear; invalidate targeting caches when flags change."
