id,character_id,character_name,archeotype,element,skill_slot,name,description,target,effects,level_acquisition,max_upgrades,upgrade_notes,cooldown_rounds
SK0020,005,Soltina,magician,Hydro,4,Surge Grand Invocation,"Soltina channels Hydro power through surge grand invocation, applying soak pressure with burst damage + control chance.",Primary enemy and adjacent,burst damage + control chance,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,4
SK0021,006,Amleth,tank,Hydro,1,Tide Bulwark Slam,"Amleth channels Hydro power through tide bulwark slam, applying soak pressure with damage + taunt.",Frontline enemy,damage + taunt,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from tank core stat and grants bonus effect on critical timing.,1
SK0022,006,Amleth,tank,Hydro,2,Current Anchor Stance,"Amleth channels Hydro power through current anchor stance, applying soak pressure with guard up + damage reduction.",Self,guard up + damage reduction,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from tank core stat and grants bonus effect on critical timing.,2
SK0023,006,Amleth,tank,Hydro,3,Mist Aegis Pulse,"Amleth channels Hydro power through mist aegis pulse, applying soak pressure with shield + minor heal.",All allies,shield + minor heal,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from tank core stat and grants bonus effect on critical timing.,3
SK0024,006,Amleth,tank,Hydro,4,Surge Last Bastion,"Amleth channels Hydro power through surge last bastion, applying soak pressure with large shield + counter window.",Self and nearby allies,large shield + counter window,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from tank core stat and grants bonus effect on critical timing.,4
SK0025,007,Fenrir,magician,Anemo,1,Gale Sigil Bolt,"Fenrir channels Anemo power through gale sigil bolt, applying displace pressure with magic damage + status seed.",Single enemy,magic damage + status seed,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,1
SK0026,007,Fenrir,magician,Anemo,2,Zephyr Catalyst Weave,"Fenrir channels Anemo power through zephyr catalyst weave, applying displace pressure with magic amplification stack.",Self,magic amplification stack,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,2
SK0027,007,Fenrir,magician,Anemo,3,Tempest Field Distortion,"Fenrir channels Anemo power through tempest field distortion, applying displace pressure with aoe damage + debuff spread.",All enemies,aoe damage + debuff spread,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,3
SK0028,007,Fenrir,magician,Anemo,4,Draft Grand Invocation,"Fenrir channels Anemo power through draft grand invocation, applying displace pressure with burst damage + control chance.",Primary enemy and adjacent,burst damage + control chance,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,4
SK0029,008,Florence,warrior,Hydro,1,Tide Guard Breaker,"Florence channels Hydro power through tide guard breaker, applying soak pressure with damage + defense down.",Frontline enemy,damage + defense down,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,1
SK0030,008,Florence,warrior,Hydro,2,Current Battle Rhythm,"Florence channels Hydro power through current battle rhythm, applying soak pressure with attack up + cleanse one debuff.",Self,attack up + cleanse one debuff,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,2
SK0031,008,Florence,warrior,Hydro,3,Mist Formation Cleave,"Florence channels Hydro power through mist formation cleave, applying soak pressure with aoe damage + stagger chance.",Front row / cone,aoe damage + stagger chance,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,3
SK0032,008,Florence,warrior,Hydro,4,Surge Commanding Strike,"Florence channels Hydro power through surge commanding strike, applying soak pressure with heavy damage + team morale buff.",Marked enemy,heavy damage + team morale buff,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,4
SK0033,009,Sonya,ranger,Anemo,1,Gale Precision Shot,"Sonya channels Anemo power through gale precision shot, applying displace pressure with damage + mark.",Single enemy in backline preferred,damage + mark,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,1
SK0034,009,Sonya,ranger,Anemo,2,Zephyr Skirmish Step,"Sonya channels Anemo power through zephyr skirmish step, applying displace pressure with speed up + evasion up.",Self and nearest ally,speed up + evasion up,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,2
SK0035,009,Sonya,ranger,Anemo,3,Tempest Suppressing Volley,"Sonya channels Anemo power through tempest suppressing volley, applying displace pressure with multi-hit + anti-heal.",Row target,multi-hit + anti-heal,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,3
SK0036,009,Sonya,ranger,Anemo,4,Draft Finisher Lane,"Sonya channels Anemo power through draft finisher lane, applying displace pressure with execute scaling damage.",Lowest HP enemy,execute scaling damage,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,4
SK0037,010,Moddey,buffer,Anemo,1,Gale Tactical Verse,"Moddey channels Anemo power through gale tactical verse, applying displace pressure with attack up + speed up.",Single ally,attack up + speed up,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from buffer core stat and grants bonus effect on critical timing.,1
SK0038,010,Moddey,buffer,Anemo,2,Zephyr Tempo Call,"Moddey channels Anemo power through zephyr tempo call, applying displace pressure with cooldown acceleration.",All allies,cooldown acceleration,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from buffer core stat and grants bonus effect on critical timing.,2
SK0039,010,Moddey,buffer,Anemo,3,Tempest Disrupting Note,"Moddey channels Anemo power through tempest disrupting note, applying displace pressure with debuff accuracy down + slow.",All enemies,debuff accuracy down + slow,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from buffer core stat and grants bonus effect on critical timing.,3
SK0040,010,Moddey,buffer,Anemo,4,Draft Overture Protocol,"Moddey channels Anemo power through draft overture protocol, applying displace pressure with teamwide buff extension + burst assist.",Whole party,teamwide buff extension + burst assist,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from buffer core stat and grants bonus effect on critical timing.,4
SK0041,011,Charlotte,warrior,Pyro,1,Ember Guard Breaker,"Charlotte channels Pyro power through ember guard breaker, applying burn pressure with damage + defense down.",Frontline enemy,damage + defense down,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,1
SK0042,011,Charlotte,warrior,Pyro,2,Cinder Battle Rhythm,"Charlotte channels Pyro power through cinder battle rhythm, applying burn pressure with attack up + cleanse one debuff.",Self,attack up + cleanse one debuff,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,2
SK0043,011,Charlotte,warrior,Pyro,3,Flare Formation Cleave,"Charlotte channels Pyro power through flare formation cleave, applying burn pressure with aoe damage + stagger chance.",Front row / cone,aoe damage + stagger chance,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,3
SK0044,011,Charlotte,warrior,Pyro,4,Inferno Commanding Strike,"Charlotte channels Pyro power through inferno commanding strike, applying burn pressure with heavy damage + team morale buff.",Marked enemy,heavy damage + team morale buff,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,4
SK0045,012,Arianrhod,warrior,Pyro,1,Ember Guard Breaker,"Arianrhod channels Pyro power through ember guard breaker, applying burn pressure with damage + defense down.",Frontline enemy,damage + defense down,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,1
SK0046,012,Arianrhod,warrior,Pyro,2,Cinder Battle Rhythm,"Arianrhod channels Pyro power through cinder battle rhythm, applying burn pressure with attack up + cleanse one debuff.",Self,attack up + cleanse one debuff,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,2
SK0047,012,Arianrhod,warrior,Pyro,3,Flare Formation Cleave,"Arianrhod channels Pyro power through flare formation cleave, applying burn pressure with aoe damage + stagger chance.",Front row / cone,aoe damage + stagger chance,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,3
SK0048,012,Arianrhod,warrior,Pyro,4,Inferno Commanding Strike,"Arianrhod channels Pyro power through inferno commanding strike, applying burn pressure with heavy damage + team morale buff.",Marked enemy,heavy damage + team morale buff,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,4
SK0049,013,Theodora,magician,Pyro,1,Ember Sigil Bolt,"Theodora channels Pyro power through ember sigil bolt, applying burn pressure with magic damage + status seed.",Single enemy,magic damage + status seed,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,1
SK0050,013,Theodora,magician,Pyro,2,Cinder Catalyst Weave,"Theodora channels Pyro power through cinder catalyst weave, applying burn pressure with magic amplification stack.",Self,magic amplification stack,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,2
SK0051,013,Theodora,magician,Pyro,3,Flare Field Distortion,"Theodora channels Pyro power through flare field distortion, applying burn pressure with aoe damage + debuff spread.",All enemies,aoe damage + debuff spread,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,3
SK0052,013,Theodora,magician,Pyro,4,Inferno Grand Invocation,"Theodora channels Pyro power through inferno grand invocation, applying burn pressure with burst damage + control chance.",Primary enemy and adjacent,burst damage + control chance,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,4
SK0053,014,Petra,ranger,Pyro,1,Ember Precision Shot,"Petra channels Pyro power through ember precision shot, applying burn pressure with damage + mark.",Single enemy in backline preferred,damage + mark,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,1
SK0054,014,Petra,ranger,Pyro,2,Cinder Skirmish Step,"Petra channels Pyro power through cinder skirmish step, applying burn pressure with speed up + evasion up.",Self and nearest ally,speed up + evasion up,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,2
SK0055,014,Petra,ranger,Pyro,3,Flare Suppressing Volley,"Petra channels Pyro power through flare suppressing volley, applying burn pressure with multi-hit + anti-heal.",Row target,multi-hit + anti-heal,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,3
SK0056,014,Petra,ranger,Pyro,4,Inferno Finisher Lane,"Petra channels Pyro power through inferno finisher lane, applying burn pressure with execute scaling damage.",Lowest HP enemy,execute scaling damage,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,4
SK0057,015,Sabrina,warrior,Pyro,1,Ember Guard Breaker,"Sabrina channels Pyro power through ember guard breaker, applying burn pressure with damage + defense down.",Frontline enemy,damage + defense down,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,1
SK0058,015,Sabrina,warrior,Pyro,2,Cinder Battle Rhythm,"Sabrina channels Pyro power through cinder battle rhythm, applying burn pressure with attack up + cleanse one debuff.",Self,attack up + cleanse one debuff,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,2
SK0059,015,Sabrina,warrior,Pyro,3,Flare Formation Cleave,"Sabrina channels Pyro power through flare formation cleave, applying burn pressure with aoe damage + stagger chance.",Front row / cone,aoe damage + stagger chance,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,3
SK0060,015,Sabrina,warrior,Pyro,4,Inferno Commanding Strike,"Sabrina channels Pyro power through inferno commanding strike, applying burn pressure with heavy damage + team morale buff.",Marked enemy,heavy damage + team morale buff,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,4
SK0061,016,Freesia,magician,Pyro,1,Ember Sigil Bolt,"Freesia channels Pyro power through ember sigil bolt, applying burn pressure with magic damage + status seed.",Single enemy,magic damage + status seed,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,1
SK0062,016,Freesia,magician,Pyro,2,Cinder Catalyst Weave,"Freesia channels Pyro power through cinder catalyst weave, applying burn pressure with magic amplification stack.",Self,magic amplification stack,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,2
SK0063,016,Freesia,magician,Pyro,3,Flare Field Distortion,"Freesia channels Pyro power through flare field distortion, applying burn pressure with aoe damage + debuff spread.",All enemies,aoe damage + debuff spread,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,3
SK0064,016,Freesia,magician,Pyro,4,Inferno Grand Invocation,"Freesia channels Pyro power through inferno grand invocation, applying burn pressure with burst damage + control chance.",Primary enemy and adjacent,burst damage + control chance,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,4
SK0065,018,Rean,tank,Pyro,1,Ember Bulwark Slam,"Rean channels Pyro power through ember bulwark slam, applying burn pressure with damage + taunt.",Frontline enemy,damage + taunt,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from tank core stat and grants bonus effect on critical timing.,1
SK0066,018,Rean,tank,Pyro,2,Cinder Anchor Stance,"Rean channels Pyro power through cinder anchor stance, applying burn pressure with guard up + damage reduction.",Self,guard up + damage reduction,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from tank core stat and grants bonus effect on critical timing.,2
SK0067,018,Rean,tank,Pyro,3,Flare Aegis Pulse,"Rean channels Pyro power through flare aegis pulse, applying burn pressure with shield + minor heal.",All allies,shield + minor heal,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from tank core stat and grants bonus effect on critical timing.,3
SK0068,018,Rean,tank,Pyro,4,Inferno Last Bastion,"Rean channels Pyro power through inferno last bastion, applying burn pressure with large shield + counter window.",Self and nearby allies,large shield + counter window,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary burn interaction and -1 cooldown every 2 uses; U3: +20% scaling from tank core stat and grants bonus effect on critical timing.,4
SK0069,021,Shizu,warrior,Dendro,1,Vine Guard Breaker,"Shizu channels Dendro power through vine guard breaker, applying entangle pressure with damage + defense down.",Frontline enemy,damage + defense down,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary entangle interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,1
SK0070,021,Shizu,warrior,Dendro,2,Bloom Battle Rhythm,"Shizu channels Dendro power through bloom battle rhythm, applying entangle pressure with attack up + cleanse one debuff.",Self,attack up + cleanse one debuff,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary entangle interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,2
SK0071,021,Shizu,warrior,Dendro,3,Thorn Formation Cleave,"Shizu channels Dendro power through thorn formation cleave, applying entangle pressure with aoe damage + stagger chance.",Front row / cone,aoe damage + stagger chance,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary entangle interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,3
SK0072,021,Shizu,warrior,Dendro,4,Canopy Commanding Strike,"Shizu channels Dendro power through canopy commanding strike, applying entangle pressure with heavy damage + team morale buff.",Marked enemy,heavy damage + team morale buff,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary entangle interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,4
SK0073,022,Zara,warrior,Dendro,1,Vine Guard Breaker,"Zara channels Dendro power through vine guard breaker, applying entangle pressure with damage + defense down.",Frontline enemy,damage + defense down,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary entangle interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,1
SK0074,022,Zara,warrior,Dendro,2,Bloom Battle Rhythm,"Zara channels Dendro power through bloom battle rhythm, applying entangle pressure with attack up + cleanse one debuff.",Self,attack up + cleanse one debuff,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary entangle interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,2
SK0075,022,Zara,warrior,Dendro,3,Thorn Formation Cleave,"Zara channels Dendro power through thorn formation cleave, applying entangle pressure with aoe damage + stagger chance.",Front row / cone,aoe damage + stagger chance,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary entangle interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,3
SK0076,022,Zara,warrior,Dendro,4,Canopy Commanding Strike,"Zara channels Dendro power through canopy commanding strike, applying entangle pressure with heavy damage + team morale buff.",Marked enemy,heavy damage + team morale buff,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary entangle interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,4
SK0077,023,Rosalie,buffer,Electro,1,Volt Tactical Verse,"Rosalie channels Electro power through volt tactical verse, applying shock pressure with attack up + speed up.",Single ally,attack up + speed up,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary shock interaction and -1 cooldown every 2 uses; U3: +20% scaling from buffer core stat and grants bonus effect on critical timing.,1
SK0078,023,Rosalie,buffer,Electro,2,Arc Tempo Call,"Rosalie channels Electro power through arc tempo call, applying shock pressure with cooldown acceleration.",All allies,cooldown acceleration,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary shock interaction and -1 cooldown every 2 uses; U3: +20% scaling from buffer core stat and grants bonus effect on critical timing.,2
SK0079,023,Rosalie,buffer,Electro,3,Static Disrupting Note,"Rosalie channels Electro power through static disrupting note, applying shock pressure with debuff accuracy down + slow.",All enemies,debuff accuracy down + slow,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary shock interaction and -1 cooldown every 2 uses; U3: +20% scaling from buffer core stat and grants bonus effect on critical timing.,3
SK0080,023,Rosalie,buffer,Electro,4,Thunder Overture Protocol,"Rosalie channels Electro power through thunder overture protocol, applying shock pressure with teamwide buff extension + burst assist.",Whole party,teamwide buff extension + burst assist,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary shock interaction and -1 cooldown every 2 uses; U3: +20% scaling from buffer core stat and grants bonus effect on critical timing.,4
